_id,date,hashtags,location,text,tweet_id,user
60da918c8624c308c41c6204,,,,,,
60da918c8624c308c41c6205,,,,,,
60da918c8624c308c41c6206,,,,,,
60da918c8624c308c41c6207,,,,,,
60da918c8624c308c41c6208,,,,,,
60da918c8624c308c41c6209,,,,,,
60da918c8624c308c41c620a,,,,,,
60da918c8624c308c41c620b,,,,,,
60da918c8624c308c41c620c,,,,,,
60da918c8624c308c41c620d,,,,,,
60da918c8624c308c41c620e,,,,,,
60da918c8624c308c41c620f,,,,,,
60da918c8624c308c41c6210,,,,,,
60da918c8624c308c41c6211,,,,,,
60da918c8624c308c41c6212,,,,,,
60da918c8624c308c41c6213,,,,,,
60da918c8624c308c41c6214,,,,,,
60da918c8624c308c41c6215,,,,,,
60da918c8624c308c41c6216,,,,,,
60da918c8624c308c41c6217,,,,,,
60da918c8624c308c41c6218,,,,,,
60da918c8624c308c41c6219,,,,,,
60da918c8624c308c41c621a,,,,,,
60da918c8624c308c41c621b,,,,,,
60da918c8624c308c41c621c,,,,,,
60da918c8624c308c41c621d,,,,,,
60da918c8624c308c41c621e,,,,,,
60da918c8624c308c41c621f,,,,,,
60da918c8624c308c41c6220,,,,,,
60da918c8624c308c41c6221,,,,,,
60da918c8624c308c41c6222,,,,,,
60da918c8624c308c41c6223,,,,,,
60da918c8624c308c41c6224,,,,,,
60da918c8624c308c41c6225,,,,,,
60da918c8624c308c41c6226,,,,,,
60da918c8624c308c41c6227,,,,,,
60da918c8624c308c41c6228,,,,,,
60da918c8624c308c41c6229,,,,,,
60da918c8624c308c41c622a,,,,,,
60da918c8624c308c41c622b,,,,,,
60da918c8624c308c41c622c,,,,,,
60da918c8624c308c41c622d,,,,,,
60da918c8624c308c41c622e,,,,,,
60da918c8624c308c41c622f,,,,,,
60da918c8624c308c41c6230,,,,,,
60da918c8624c308c41c6231,,,,,,
60da918c8624c308c41c6232,,,,,,
60da918c8624c308c41c6233,,,,,,
60da918c8624c308c41c6234,,,,,,
60da918c8624c308c41c6235,,,,,,
60da918c8624c308c41c6236,,,,,,
60da918c8624c308c41c6237,,,,,,
